ticker,name,close,change,change_abs,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.All,volume,market_cap_basic,sector,industry
NASDAQ:GRWG,GRWG,1.7900,1.13%,0.0200,10.49%,4.68%,62.73%,82.93%,4.07%,-15.17%,-91.48%,-10.50%,"393,688","$106,991,365",Distribution Services,Wholesale Distributors
NASDAQ:KVAC,KVAC,11.5700,-0.09%,-0.0100,-0.60%,-0.17%,1.76%,2.75%,5.77%,7.43%,13.43%,13.43%,308,"$106,888,524",Finance,Financial Conglomerates
NASDAQ:MGX,MGX,2.8450,2.34%,0.0650,-14.56%,27.58%,11.57%,61.65%,-22.05%,42.25%,-72.24%,-72.24%,"127,201","$106,781,776",Health Technology,Pharmaceuticals: Major
NASDAQ:RITR,RITR,1.7100,-1.72%,-0.0300,6.21%,-71.78%,-60.69%,-55.81%,-55.42%,-77.20%,-63.69%,-63.69%,"288,385","$106,778,812",Finance,Real Estate Investment Trusts
NASDAQ:OPTX,OPTX,2.8900,1.05%,0.0300,24.57%,80.62%,25.65%,77.30%,3.21%,107.91%,-70.81%,-70.81%,"115,967","$106,699,451",Electronic Technology,Electronic Components
NASDAQ:RSSS,RSSS,3.2500,0.00%,0.0000,1.56%,-17.93%,16.91%,20.82%,-22.62%,23.11%,31.05%,441.67%,"11,966","$106,670,789",Commercial Services,Miscellaneous Commercial Services
NASDAQ:AGH,AGH,7.2900,8.16%,0.5500,58.13%,224.00%,287.77%,1124.59%,66.82%,66.82%,66.82%,66.82%,"216,507","$106,499,516",Consumer Services,Movies/Entertainment
NASDAQ:RDZN,RDZN,1.4000,1.45%,0.0200,11.11%,50.54%,10.24%,61.49%,-36.94%,53.06%,-85.86%,-85.86%,"101,432","$106,430,462",Technology Services,Packaged Software
OTC:HHLKF,HHLKF,0.6000,0.95%,0.0057,-5.78%,0.00%,42.87%,38.41%,33.33%,5.42%,-60.00%,-87.50%,"19,000","$106,417,088",Non-Energy Minerals,Other Metals/Minerals
NASDAQ:ONMD,ONMD,2.3050,-1.50%,-0.0350,-9.96%,142.63%,351.96%,517.14%,63.48%,224.65%,-76.65%,-76.65%,"388,942","$106,250,468",Technology Services,Packaged Software
OTC:CURN,CURN,17.3500,0.23%,0.0400,-0.12%,5.09%,21.16%,20.74%,5.15%,-8.68%,118.35%,110.70%,120,"$106,151,918",Finance,Investment Banks/Brokers
OTC:CYVF,CYVF,72.0000,0.00%,0.0000,0.00%,1.41%,7.95%,13.39%,12.52%,9.09%,41.18%,200.00%,"4,908","$106,125,269",Finance,Regional Banks
OTC:BNCC,BNCC,30.5000,0.00%,0.0000,0.83%,0.00%,5.17%,6.01%,-2.46%,14.32%,-5.04%,183.72%,337,"$106,048,500",Finance,Major Banks
OTC:CWGL,CWGL,5.1500,0.00%,0.0000,-0.19%,-1.72%,-7.87%,-8.85%,-17.86%,-23.13%,0.98%,-40.29%,614,"$106,018,041",Consumer Non-Durables,Beverages: Alcoholic
NASDAQ:SPWH,SPWH,2.7550,1.66%,0.0450,-1.25%,-13.91%,-21.95%,75.48%,3.18%,10.20%,-80.77%,-71.00%,"101,365","$105,877,626",Retail Trade,Specialty Stores
OTC:MCRAA,MCRAA,45.1800,0.20%,0.0900,0.20%,-0.66%,-3.56%,-7.80%,-12.10%,-7.72%,124.89%,622.88%,133,"$105,776,126",Consumer Non-Durables,Apparel/Footwear
OTC:PBNK,PBNK,20.0000,0.00%,0.0000,-0.99%,-3.38%,-4.53%,6.67%,6.30%,1.78%,184.09%,91.30%,"5,000","$105,759,201",Finance,Regional Banks
OTC:XTGRF,XTGRF,2.3100,3.12%,0.0700,4.52%,14.41%,50.98%,63.83%,72.39%,102.63%,155.41%,7600.00%,"6,400","$105,751,155",Non-Energy Minerals,Precious Metals
NASDAQ:STHO,STHO,7.9500,1.53%,0.1200,5.58%,-6.69%,1.40%,22.69%,-18.88%,-39.17%,-60.25%,-60.25%,"10,658","$105,655,635",Finance,Financial Conglomerates
OTC:KISB,KISB,40.5000,0.00%,0.0000,2.53%,6.69%,12.41%,23.14%,17.39%,26.56%,43.21%,548.00%,"2,607","$105,551,872",Finance,Regional Banks
NASDAQ:TUSK,TUSK,2.1900,0.92%,0.0200,-1.79%,-8.75%,-17.98%,-17.98%,-28.66%,-50.00%,35.19%,-83.97%,"14,116","$105,544,939",Industrial Services,Oilfield Services/Equipment
NASDAQ:NEXM,NEXM,4.9200,-2.57%,-0.1300,-12.77%,-14.14%,-23.48%,-96.10%,-95.87%,-97.29%,-92.48%,-100.00%,"48,563","$105,541,086",Non-Energy Minerals,Other Metals/Minerals
NASDAQ:FLUX,FLUX,6.2500,-5.45%,-0.3600,23.52%,119.30%,210.95%,278.79%,288.20%,102.27%,-26.30%,-47.92%,"577,966","$105,223,109",Producer Manufacturing,Electrical Products
NASDAQ:UHG,UHG,1.7850,2.59%,0.0450,-59.43%,-56.57%,-54.58%,-19.59%,-58.29%,-67.55%,-82.47%,-82.47%,"186,920","$104,963,105",Consumer Durables,Homebuilding
OTC:AUGG,AUGG,1.2200,1.67%,0.0200,2.52%,0.83%,0.83%,50.62%,45.12%,84.85%,-10.47%,-66.11%,"17,510","$104,834,296",Non-Energy Minerals,Precious Metals
AMEX:PTHS,PTHS,34.1600,-1.41%,-0.4900,28.76%,2.83%,55.34%,-74.32%,-48.98%,-56.76%,-94.31%,-94.31%,"3,285","$104,801,991",Health Technology,Pharmaceuticals: Major
NASDAQ:RCEL,RCEL,3.9300,-2.24%,-0.0900,-8.60%,-28.15%,-33.95%,-59.65%,-69.82%,-62.50%,-83.23%,-84.28%,"78,849","$104,612,405",Health Technology,Medical Specialties
OTC:APXCF,APXCF,2.2000,-10.57%,-0.2600,-36.96%,67.94%,229.34%,197.50%,195.06%,717.64%,717.64%,717.64%,"358,657","$104,610,579",Non-Energy Minerals,Other Metals/Minerals
OTC:LRBI,LRBI,108.6200,-1.25%,-1.3800,-1.48%,-5.30%,3.45%,-11.69%,-9.48%,14.34%,67.11%,8.62%,642,"$104,601,062",Finance,Regional Banks
NASDAQ:FLL,FLL,2.8850,2.67%,0.0750,9.28%,-17.10%,-39.90%,-4.79%,-30.48%,-42.18%,1.58%,-3.83%,"123,015","$104,181,664",Consumer Services,Casinos/Gaming
OTC:GCUMF,GCUMF,0.2876,0.74%,0.0021,-6.93%,42.38%,40.57%,43.44%,116.24%,135.93%,-40.70%,-29.42%,"29,139","$103,956,144",Non-Energy Minerals,Other Metals/Minerals
OTC:FKYS,FKYS,16.7000,0.00%,0.0000,-1.18%,-1.76%,-7.58%,9.51%,23.52%,43.10%,-8.74%,244.16%,900,"$103,853,646",Finance,Regional Banks
NASDAQ:IMMX,IMMX,3.6000,4.96%,0.1700,31.39%,73.08%,29.50%,111.24%,62.90%,119.51%,-28.00%,-28.00%,"739,726","$103,802,806",Health Technology,Pharmaceuticals: Major
NASDAQ:PROV,PROV,15.7700,1.02%,0.1600,-0.25%,1.41%,0.77%,9.51%,-2.59%,8.24%,16.73%,222.56%,"8,751","$103,719,897",Finance,Savings Banks
OTC:VHMLF,VHMLF,0.4000,-13.04%,-0.0600,21.21%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,"6,515","$103,668,565",Non-Energy Minerals,Other Metals/Minerals
OTC:LITOF,LITOF,0.4521,0.47%,0.0021,2.75%,26.28%,12.60%,16.83%,56.98%,3.93%,94.69%,745.05%,"11,100","$103,552,170",Non-Energy Minerals,Other Metals/Minerals
OTC:TSPH,TSPH,0.4500,0.00%,0.0000,-4.26%,-4.26%,73.08%,200.00%,12.50%,87.50%,500.00%,80.00%,"76,168","$103,450,806",Consumer Durables,Motor Vehicles
OTC:ILIKF,ILIKF,0.5717,-3.43%,-0.0203,-6.36%,-4.72%,-8.60%,3.95%,115.33%,111.74%,-52.75%,120.90%,"11,975","$103,381,749",Producer Manufacturing,Electrical Products
OTC:FFXXF,FFXXF,1.9565,1.37%,0.0265,-0.89%,-5.30%,-8.57%,-27.00%,-12.26%,-31.35%,-43.12%,-80.24%,"3,000","$103,378,916",Finance,Financial Conglomerates
NASDAQ:FGMC,FGMC,10.0190,0.04%,0.0040,-0.21%,0.39%,1.10%,4.15%,1.72%,25.71%,0.59%,0.59%,"9,450","$103,153,620",Finance,Financial Conglomerates
OTC:SYZLF,SYZLF,4.4100,1.47%,0.0640,11.93%,-11.80%,-38.58%,-29.44%,-28.64%,-43.75%,-44.92%,247.24%,"11,865","$103,148,031",Technology Services,Packaged Software
OTC:DIMC,DIMC,41.0000,1.21%,0.4900,5.13%,6.22%,10.81%,7.89%,5.13%,8.04%,19.19%,668.75%,"2,620","$103,073,992",Finance,Regional Banks
OTC:SMTLF,SMTLF,0.0663,-37.30%,-0.0394,,83.15%,69.57%,30.26%,16.93%,28.49%,-88.95%,-90.76%,768,"$103,051,610",Utilities,Electric Utilities
OTC:CRNG,CRNG,6.5000,-0.76%,-0.0500,3.01%,-0.15%,7.44%,-27.78%,-12.16%,214.88%,805.29%,805.29%,939,"$102,822,141",Finance,Real Estate Investment Trusts
NASDAQ:LSBK,LSBK,13.3400,2.07%,0.2700,4.79%,1.51%,10.25%,16.76%,29.75%,29.57%,42.90%,67.36%,"28,977","$102,814,580",Finance,Savings Banks
OTC:GENMF,GENMF,0.3824,-0.82%,-0.0031,-18.23%,16.71%,36.56%,175.08%,254.52%,91.18%,1.69%,377.94%,"47,002","$102,542,112",Non-Energy Minerals,Other Metals/Minerals
NASDAQ:DRIO,DRIO,15.1500,0.60%,0.0900,19.76%,69.08%,14.13%,-7.62%,-1.62%,-18.55%,-94.19%,-98.96%,"1,019","$102,537,993",Health Technology,Medical Specialties
OTC:FNMCF,FNMCF,0.3200,0.16%,0.0005,-9.86%,-8.35%,13.24%,3.90%,23.08%,24.42%,-20.99%,213.11%,"10,999","$102,533,456",Non-Energy Minerals,Precious Metals
NYSE:ENJ,ENJ,22.6803,1.59%,0.3551,3.94%,3.56%,9.27%,8.59%,7.69%,-3.18%,-11.02%,-9.17%,600,"$102,432,000",Utilities,Electric Utilities
NYSE:ENO,ENO,23.3628,0.36%,0.0828,1.17%,-0.49%,6.58%,7.02%,2.65%,-4.68%,-9.06%,-9.13%,"1,372","$102,432,000",Utilities,Electric Utilities
OTC:KLDCF,KLDCF,1.3060,-0.91%,-0.0120,-6.71%,-14.08%,-13.81%,28.04%,48.16%,42.25%,45.19%,45.19%,"5,609","$102,405,205",Non-Energy Minerals,Other Metals/Minerals
OTC:SMAGF,SMAGF,0.8722,-1.23%,-0.0109,-17.33%,-13.64%,-9.15%,55.75%,142.28%,97.78%,123.64%,-54.57%,"1,400","$102,278,795",Non-Energy Minerals,Precious Metals
OTC:SNZZF,SNZZF,0.6500,-7.14%,-0.0500,-7.14%,-7.14%,-10.96%,32.65%,23.32%,14.04%,-75.93%,-17.72%,"11,000","$102,189,776",Health Technology,Medical Specialties
OTC:HSRMF,HSRMF,0.4636,1.70%,0.0077,-4.46%,135.35%,95.05%,110.27%,110.75%,137.64%,-83.44%,-83.44%,"4,600","$102,038,724",Non-Energy Minerals,Other Metals/Minerals
NASDAQ:ATOM,ATOM,3.2350,0.15%,0.0050,-30.58%,-25.46%,-38.50%,-21.67%,-72.33%,-4.01%,-65.33%,-60.21%,"529,833","$101,846,714",Commercial Services,Miscellaneous Commercial Services
OTC:CMRB,CMRB,4.9000,-0.81%,-0.0400,1.03%,2.51%,6.29%,-0.61%,-2.00%,-11.71%,40.00%,-24.62%,"15,297","$101,832,339",Finance,Regional Banks
NASDAQ:QVCGA,QVCGA,12.3700,-6.99%,-0.9300,-13.86%,-8.10%,282.97%,64.93%,-27.13%,-55.90%,-96.69%,-94.43%,"38,893","$101,785,643",Consumer Services,Broadcasting
AMEX:GRO,GRO,2.5300,-2.69%,-0.0700,5.42%,-5.95%,31.77%,-3.44%,-69.15%,201.19%,201.19%,-84.67%,"148,285","$101,780,857",Non-Energy Minerals,Other Metals/Minerals
OTC:RECAF,RECAF,0.3350,-0.42%,-0.0014,-4.80%,-13.99%,3.40%,-15.19%,-52.82%,-51.46%,-58.12%,111.76%,"187,088","$101,703,384",Energy Minerals,Oil & Gas Production
NASDAQ:CHPG,CHPG,10.1400,0.10%,0.0100,0.10%,0.90%,1.40%,-0.98%,-0.98%,-0.98%,-0.98%,-0.98%,"1,000","$101,271,080",Finance,Financial Conglomerates
OTC:OCGSF,OCGSF,0.2185,1.39%,0.0030,-13.19%,-19.07%,-0.64%,61.85%,64.78%,-2.92%,-24.66%,-96.23%,"215,981","$101,201,972",Non-Energy Minerals,Precious Metals
OTC:LTHCF,LTHCF,0.5476,0.11%,0.0006,-7.36%,6.77%,3.33%,3.19%,1.27%,-5.05%,-18.48%,-18.48%,500,"$101,133,207",Non-Energy Minerals,Other Metals/Minerals
OTC:SNGCF,SNGCF,0.2360,4.16%,0.0094,-9.89%,5.36%,39.10%,-10.91%,97.32%,330.66%,-21.33%,-21.33%,"75,000","$101,072,073",Non-Energy Minerals,Precious Metals
NYSE:PSQH,PSQH,2.2014,4.83%,0.1014,8.44%,-15.98%,-0.39%,3.35%,-52.66%,-21.38%,-77.19%,-77.19%,"740,495","$101,071,126",Retail Trade,Department Stores
OTC:AGNMF,AGNMF,0.1000,-22.78%,-0.0295,19.33%,-22.00%,-24.30%,25.00%,109.64%,85.27%,73.01%,73.01%,"5,000","$100,941,724",Finance,Investment Managers
NASDAQ:ENTX,ENTX,2.2101,3.28%,0.0701,-8.67%,20.11%,15.71%,-6.35%,0.46%,24.86%,106.55%,-69.72%,"57,755","$100,920,648",Health Technology,Pharmaceuticals: Major
NASDAQ:ATRA,ATRA,14.3500,1.63%,0.2300,-4.90%,10.38%,17.82%,92.10%,7.57%,69.02%,-96.11%,-94.20%,"22,688","$100,780,511",Health Technology,Pharmaceuticals: Major
NASDAQ:EXOZ,EXOZ,12.0100,0.08%,0.0100,-5.28%,-19.93%,10.49%,-4.23%,-30.62%,8.20%,8.20%,8.20%,675,"$100,730,872",Process Industries,Chemicals: Specialty
OTC:HAIVF,HAIVF,3.6900,1.69%,0.0612,4.24%,1.23%,5.73%,27.68%,-2.64%,9.17%,-51.74%,-51.74%,274,"$100,722,532",Electronic Technology,Computer Peripherals
NASDAQ:GENK,GENK,3.0500,0.33%,0.0100,1.67%,0.00%,-26.68%,-28.40%,-59.06%,-64.37%,-83.33%,-83.33%,"17,682","$100,443,467",Consumer Services,Restaurants
OTC:CORBF,CORBF,0.7500,25.00%,0.1500,7.14%,-48.28%,5.63%,-28.57%,-25.00%,-40.00%,-75.00%,-75.00%,"12,657","$100,436,039",Health Services,Medical/Nursing Services
NASDAQ:SPKL,SPKL,11.5400,-0.86%,-0.1000,-0.47%,-1.95%,5.29%,6.85%,8.15%,9.70%,13.69%,13.69%,181,"$99,922,448",Finance,Financial Conglomerates
NYSE:DHX,DHX,2.0801,1.47%,0.0301,2.47%,-24.63%,-26.76%,32.49%,14.92%,14.29%,0.00%,-85.65%,"36,528","$99,866,333",Commercial Services,Personnel Services
NASDAQ:GNSS,GNSS,2.2100,1.38%,0.0300,5.24%,-12.99%,19.46%,-2.64%,-15.65%,-41.53%,-66.82%,342.00%,"35,191","$99,791,454",Electronic Technology,Computer Communications
NASDAQ:BMEA,BMEA,1.4100,2.17%,0.0300,-11.88%,-30.54%,-22.95%,-39.22%,-64.30%,-87.56%,-92.95%,-92.95%,"864,528","$99,692,137",Health Technology,Pharmaceuticals: Major
OTC:QSCGF,QSCGF,0.8000,-17.21%,-0.1663,-20.00%,-20.00%,0.49%,0.49%,11.41%,-7.32%,-33.88%,-80.27%,"2,044","$99,663,589",Technology Services,Information Technology Services
OTC:FEOVF,FEOVF,0.6560,-8.89%,-0.0640,-9.40%,-1.50%,248.57%,417.76%,297.58%,837.14%,317.22%,-36.12%,"1,000","$99,632,921",Non-Energy Minerals,Steel
NASDAQ:SILC,SILC,17.4899,-0.06%,-0.0101,4.60%,-4.53%,13.38%,26.74%,6.32%,32.00%,-53.42%,225.39%,"2,157","$99,632,354",Electronic Technology,Computer Communications
OTC:BCTF,BCTF,13.3000,-1.48%,-0.2000,-0.00%,2.31%,8.48%,17.70%,12.52%,18.12%,33.00%,29.76%,500,"$99,557,548",Finance,Savings Banks
OTC:GRUSF,GRUSF,0.3986,2.20%,0.0086,-3.23%,-11.62%,-1.32%,-16.96%,-38.68%,-36.30%,368.92%,-100.00%,"101,717","$99,478,017",Health Technology,Pharmaceuticals: Other
OTC:VCCTF,VCCTF,0.8661,11.04%,0.0861,-0.45%,-10.71%,-25.34%,-22.32%,-30.15%,-42.64%,-93.98%,-93.98%,200,"$99,363,559",Consumer Durables,Home Furnishings
NASDAQ:NUKK,NUKK,7.3000,-8.29%,-0.6600,-40.70%,29.20%,-17.05%,-55.30%,-80.30%,172.39%,-86.96%,-86.98%,"901,334","$98,920,592",Commercial Services,Advertising/Marketing Services
OTC:SLBK,SLBK,17.5000,0.69%,0.1200,1.10%,2.94%,12.69%,29.15%,43.68%,45.86%,105.88%,118.75%,"1,000","$98,904,820",Finance,Major Banks
OTC:NOBH,NOBH,30.2000,-5.63%,-1.8000,1.19%,3.25%,11.85%,0.67%,-8.48%,-8.48%,25.83%,636.28%,407,"$98,723,747",Consumer Durables,Homebuilding
OTC:BBNA,BBNA,15.0000,0.00%,0.0000,-7.98%,-17.58%,-11.76%,-15.49%,-16.43%,-6.89%,-21.05%,1083.59%,100,"$98,691,616",Finance,Major Banks
NASDAQ:CHAI,CHAI,4.9500,-3.32%,-0.1700,15.12%,-47.34%,-67.86%,4.87%,-79.38%,-89.42%,-100.00%,-100.00%,"81,077","$98,615,781",Technology Services,Packaged Software
NASDAQ:CRDL,CRDL,1.1750,0.43%,0.0050,14.08%,9.81%,-16.07%,9.81%,-9.62%,-37.17%,-48.63%,-68.60%,"195,803","$98,382,100",Health Technology,Biotechnology
NASDAQ:PROP,PROP,1.9500,0.00%,0.0000,17.47%,0.00%,-48.68%,-46.58%,-72.69%,-77.35%,-93.50%,-99.43%,"646,922","$98,041,596",Energy Minerals,Integrated Oil
NASDAQ:SND,SND,2.2500,0.90%,0.0200,6.13%,4.65%,7.14%,10.29%,-1.75%,4.17%,66.67%,-78.16%,"141,642","$98,008,253",Non-Energy Minerals,Construction Materials
NASDAQ:NOEM,NOEM,10.2099,-0.00%,-0.0001,-0.00%,0.10%,1.29%,2.41%,3.65%,3.65%,3.65%,3.65%,"3,000","$97,869,548",Finance,Financial Conglomerates
NASDAQ:VANI,VANI,1.6500,1.23%,0.0200,10.00%,8.55%,3.12%,63.37%,42.24%,29.92%,-34.99%,-99.60%,"121,865","$97,752,441",Health Technology,Medical Specialties
NASDAQ:FONR,FONR,15.4800,0.52%,0.0800,-0.78%,1.72%,-3.25%,26.37%,1.31%,-0.13%,-27.43%,-87.10%,"4,150","$97,676,338",Commercial Services,Miscellaneous Commercial Services
OTC:IXRRF,IXRRF,0.0145,-3.33%,-0.0005,-23.28%,45.00%,-3.33%,93.33%,83.54%,-75.83%,-69.79%,-69.79%,"106,995","$97,630,401",Non-Energy Minerals,Other Metals/Minerals
OTC:TETHF,TETHF,0.8487,-6.54%,-0.0594,-6.54%,26.57%,-7.45%,2.57%,-5.71%,51.54%,47.90%,-89.35%,"2,000","$97,473,605",Energy Minerals,Oil & Gas Production
NASDAQ:CMTL,CMTL,3.3150,5.91%,0.1850,13.92%,39.87%,44.13%,140.22%,-17.33%,-12.07%,-79.74%,-78.94%,"211,283","$97,445,302",Electronic Technology,Telecommunications Equipment
OTC:THNCF,THNCF,1.4300,-3.90%,-0.0580,-6.54%,0.00%,-9.49%,-18.29%,-33.53%,-26.38%,-86.61%,-86.61%,"5,000","$97,411,132",Technology Services,Packaged Software
NASDAQ:HOFT,HOFT,9.0600,1.23%,0.1100,0.17%,-14.69%,-19.96%,1.12%,-36.29%,-43.90%,-69.55%,132.31%,"11,312","$97,395,300",Consumer Durables,Home Furnishings
NASDAQ:DOMH,DOMH,6.0650,1.25%,0.0750,4.57%,-16.92%,22.28%,32.14%,518.88%,233.94%,-38.30%,-100.00%,"35,069","$97,028,035",Finance,Investment Banks/Brokers
AMEX:OPTT,OPTT,0.5282,3.81%,0.0194,1.58%,3.08%,-19.97%,12.57%,-42.79%,245.23%,-76.21%,-99.99%,"4,051,770","$96,668,262",Producer Manufacturing,Electrical Products
OTC:ABSSF,ABSSF,3.5600,0.85%,0.0300,-1.39%,-3.26%,-0.95%,27.60%,31.85%,2.74%,-73.77%,-19.96%,300,"$96,651,238",Electronic Technology,Aerospace & Defense
OTC:FMBM,FMBM,27.1000,0.37%,0.1000,0.15%,5.04%,24.25%,38.83%,34.36%,17.98%,42.11%,142.69%,383,"$96,401,942",Finance,Regional Banks
NASDAQ:ALXO,ALXO,1.8000,2.86%,0.0500,10.43%,40.62%,233.33%,242.60%,5.88%,7.78%,-95.68%,-95.07%,"312,912","$96,392,037",Health Technology,Biotechnology
NASDAQ:ORMP,ORMP,2.3500,-0.84%,-0.0200,6.33%,-5.62%,4.91%,1.56%,-4.08%,-1.26%,-7.84%,1515.63%,"75,924","$96,358,458",Health Technology,Pharmaceuticals: Major
NASDAQ:FNGR,FNGR,1.5805,-6.48%,-0.1095,3.57%,-7.03%,7.52%,-19.77%,27.46%,-16.82%,-79.01%,690.25%,"169,704","$96,265,773",Technology Services,Packaged Software
OTC:QUCT,QUCT,2060.0000,1.45%,29.5000,3.47%,6.46%,26.77%,27.48%,52.59%,48.09%,122.44%,635.71%,135,"$96,261,737",Finance,Investment Managers
NASDAQ:IDN,IDN,4.8016,3.04%,0.1416,7.18%,-14.41%,-7.66%,81.19%,70.27%,104.32%,-41.44%,-94.54%,"8,988","$96,210,959",Technology Services,Packaged Software
NASDAQ:AOUT,AOUT,7.6000,0.93%,0.0700,0.93%,-14.51%,-22.13%,-31.22%,-51.03%,-19.23%,-49.50%,-58.20%,"9,209","$96,191,489",Consumer Durables,Recreational Products
NASDAQ:LINK,LINK,9.7501,-2.30%,-0.2299,0.31%,-14.10%,33.75%,50.00%,54.52%,188.89%,100.34%,59.55%,"37,023","$96,177,068",Electronic Technology,Semiconductors
OTC:BLHK,BLHK,33.0000,-0.96%,-0.3200,10.00%,10.18%,15.59%,38.66%,58.96%,65.00%,259.09%,332.00%,"4,000","$96,138,146",Finance,Regional Banks
OTC:LRAXF,LRAXF,1.9400,2.65%,0.0500,25.16%,21.25%,10.86%,49.23%,117.98%,97.48%,243.09%,64.31%,"25,852","$96,097,461",Non-Energy Minerals,Other Metals/Minerals
OTC:KBLB,KBLB,0.0899,0.00%,0.0000,-2.85%,3.29%,2.11%,6.98%,-6.88%,5.84%,-25.55%,79.72%,"496,996","$96,082,387",Process Industries,Textiles
NASDAQ:BAER,BAER,1.7300,1.76%,0.0300,6.79%,-4.42%,-6.49%,13.07%,-16.83%,-49.12%,-82.16%,-82.16%,"34,166","$96,062,841",Transportation,Airlines
NASDAQ:QNCX,QNCX,1.7850,0.28%,0.0050,-8.46%,11.56%,-3.51%,57.96%,-5.05%,103.07%,-96.39%,-97.54%,"56,282","$95,879,128",Health Technology,Biotechnology
OTC:CYGGF,CYGGF,0.0900,0.22%,0.0002,-18.18%,42.74%,125.00%,46.82%,-18.18%,-38.36%,-38.36%,-38.36%,"8,828","$95,798,251",Non-Energy Minerals,Precious Metals
OTC:TSORF,TSORF,0.0380,14.11%,0.0047,-34.93%,8.57%,85.37%,85.82%,18.01%,123.53%,-60.00%,-60.00%,"12,000","$95,697,773",Non-Energy Minerals,Precious Metals
NASDAQ:HLP,HLP,1.3001,-3.70%,-0.0499,-9.72%,28.72%,100.29%,38.31%,-2.98%,13.05%,-70.45%,-70.45%,"30,102","$95,477,722",Producer Manufacturing,Metal Fabrication
OTC:MMRGF,MMRGF,0.2180,-4.64%,-0.0106,-22.97%,-27.53%,13.25%,80.46%,83.04%,3.81%,-45.47%,54.61%,"191,225","$95,344,383",Non-Energy Minerals,Precious Metals
NASDAQ:YTRA,YTRA,1.5800,1.28%,0.0200,-4.82%,5.33%,74.20%,126.69%,26.40%,0.00%,49.06%,-84.20%,"45,258","$95,322,858",Consumer Services,Other Consumer Services
OTC:HYDTF,HYDTF,3.4976,-0.69%,-0.0244,21.44%,3.17%,151.63%,141.21%,109.44%,785.47%,899.31%,899.31%,"38,435","$95,282,509",Retail Trade,Drugstore Chains
NASDAQ:OFS,OFS,7.1000,1.00%,0.0700,1.43%,-14.15%,-15.78%,-17.44%,-12.78%,-12.56%,63.97%,-51.86%,"20,279","$95,126,356",Miscellaneous,Investment Trusts/Mutual Funds
OTC:SWIOU,SWIOU,10555.0000,3.99%,405.0000,3.99%,14.73%,14.73%,5.47%,5.47%,33.61%,124.57%,50.79%,10,"$94,995,000",Process Industries,Chemicals: Specialty
NASDAQ:CSBR,CSBR,6.8800,1.93%,0.1300,6.83%,4.08%,3.46%,-15.48%,-18.87%,72.00%,-23.81%,31.75%,"9,880","$94,864,334",Health Technology,Biotechnology
OTC:SIMTF,SIMTF,0.0112,-73.58%,-0.0312,-73.58%,-73.58%,-78.57%,24.44%,-75.91%,-79.05%,-85.07%,-88.15%,200,"$94,843,936",Electronic Technology,Electronic Production Equipment
OTC:BNEFF,BNEFF,2.5830,-0.65%,-0.0170,6.30%,-4.33%,-7.72%,14.29%,-4.69%,11.82%,158.30%,-53.63%,200,"$94,516,574",Energy Minerals,Integrated Oil
AMEX:PCG/PA,PCG/PA,22.3800,-0.22%,-0.0500,0.81%,0.58%,1.40%,-1.63%,-8.17%,-9.76%,-24.39%,5.94%,"2,202","$94,467,556",Utilities,Electric Utilities
AMEX:PCG/PE,PCG/PE,19.9400,0.86%,0.1700,9.81%,6.01%,14.27%,11.40%,0.96%,0.71%,-19.53%,15.59%,104,"$94,467,556",Utilities,Electric Utilities
AMEX:PCG/PC,PCG/PC,19.7900,1.49%,0.2900,5.49%,3.61%,6.97%,5.10%,-3.83%,-5.13%,-20.84%,10.71%,138,"$94,467,556",Utilities,Electric Utilities
AMEX:PCG/PI,PCG/PI,16.7100,0.00%,0.0000,4.37%,5.93%,6.36%,3.66%,-1.71%,-8.74%,-20.62%,11.40%,101,"$94,467,556",Utilities,Electric Utilities
AMEX:PCG/PB,PCG/PB,20.2300,-0.22%,-0.0437,1.66%,2.69%,3.81%,2.30%,-3.67%,-11.27%,-23.60%,6.47%,980,"$94,467,556",Utilities,Electric Utilities
AMEX:PCG/PD,PCG/PD,19.1179,1.42%,0.2679,4.81%,6.09%,9.06%,7.65%,0.04%,-6.28%,-22.44%,11.64%,206,"$94,467,556",Utilities,Electric Utilities
AMEX:PCG/PH,PCG/PH,16.5700,0.00%,0.0000,0.02%,1.29%,3.98%,0.42%,-5.31%,-12.10%,-26.36%,6.90%,313,"$94,467,556",Utilities,Electric Utilities
AMEX:PCG/PG,PCG/PG,18.2000,2.82%,0.5000,3.88%,5.69%,7.76%,7.00%,1.11%,-7.89%,-27.20%,11.15%,"3,710","$94,467,556",Utilities,Electric Utilities
NASDAQ:FSHP,FSHP,10.6497,0.37%,0.0397,0.47%,-0.00%,1.62%,2.90%,4.72%,6.07%,6.28%,6.28%,433,"$94,388,292",Finance,Financial Conglomerates
OTC:SSVFF,SSVFF,0.2440,-5.19%,-0.0134,-21.30%,-19.28%,30.61%,54.42%,92.11%,10.90%,-40.49%,-77.51%,"427,661","$94,346,559",Non-Energy Minerals,Precious Metals
NASDAQ:AUBN,AUBN,27.0000,3.61%,0.9400,3.61%,3.40%,-4.73%,37.76%,20.00%,29.81%,-27.96%,326.32%,169,"$94,329,872",Finance,Regional Banks
